"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 26 21:58:11 GMT 2022","Wed Jan 26 21:58:13 GMT 2022","2079","python-tests","test_006_paginate","","","","test_paginate",""
"passed","Wed Jan 26 21:58:00 GMT 2022","Wed Jan 26 21:58:05 GMT 2022","5210","python-tests","test_003_logout","","","","test_logout",""
"passed","Wed Jan 26 21:58:21 GMT 2022","Wed Jan 26 21:58:27 GMT 2022","6259","python-tests","test_008_edit_article","","","","test_editing",""
"passed","Wed Jan 26 21:57:45 GMT 2022","Wed Jan 26 21:57:47 GMT 2022","2080","python-tests","test_001_decline_cookies","","","","test_decline_cookies",""
"passed","Wed Jan 26 21:58:11 GMT 2022","Wed Jan 26 21:58:11 GMT 2022","10","python-tests","test_005_list_articles","","","","test_list_articles",""
"passed","Wed Jan 26 21:58:52 GMT 2022","Wed Jan 26 21:58:54 GMT 2022","1303","python-tests","test_011_writing_to_file","","","","test_writing_to_file",""
"passed","Wed Jan 26 21:58:31 GMT 2022","Wed Jan 26 21:58:52 GMT 2022","20932","python-tests","test_010_posting_from_file","","","","test_posting_from_file",""
"passed","Wed Jan 26 21:58:27 GMT 2022","Wed Jan 26 21:58:31 GMT 2022","4290","python-tests","test_009_delete_article","","","","test_delete",""
"passed","Wed Jan 26 21:58:05 GMT 2022","Wed Jan 26 21:58:11 GMT 2022","6274","python-tests","test_004_login","","","","test_logging_in",""
"passed","Wed Jan 26 21:58:13 GMT 2022","Wed Jan 26 21:58:21 GMT 2022","7573","python-tests","test_007_new_article","","","","test_new_article",""
"passed","Wed Jan 26 21:57:47 GMT 2022","Wed Jan 26 21:58:00 GMT 2022","12444","python-tests","test_002_registration","","","","test_reg",""
